X,Y,LONGITUDE,LATITUDE,AR_LIVRE,BOUGUER,h
5413052.3475271,6783320.37014467,-49.76,-29,-55.99242687,-60.89202914,46.13
5160509.00629509,6789833.75900262,-52.3527,-28.998,33.51980212,-43.61119044,697.24
5133897.32343761,6790772.62214881,-52.6259,-28.9926,46.52223676,-32.83204814,717.65
5434126.09106004,6784156.66391459,-49.5442,-28.9855,-61.1632839,-64.10420586,27.68
5090737.29134466,6793244.20689777,-53.069,-28.9741,7.349802117,-35.28954896,389.64
5237555.99488832,6789566.98397223,-51.5621,-28.9884,-1.863100178,-67.61917271,593.92
5159453.90704434,6791755.57009309,-52.3638,-28.9808,43.07759316,-43.46368066,781.4
5034516.3078709,6795101.36559099,-53.6459,-28.9601,8.057099219,-37.63112244,417.41
5285020.87113331,6788867.56958488,-51.075,-28.985,15.6580764,-66.67588083,741.97
5285020.87113331,6788867.56958488,-51.075,-28.985,15.98722953,-66.33553771,741.87
5424750.62912079,6785373.35952228,-49.6408,-28.9777,-65.34112089,-66.55407797,12.56
5383446.81835008,6786633.47602457,-50.0648,-28.9794,57.26186222,-59.74526459,1050.59
5334373.46972952,6788240.14392531,-50.5686,-28.9787,29.02477211,-66.57362621,860.49
5189292.96839501,6791969.43380817,-52.0577,-28.9748,19.6157613,-50.42344416,633.13
5159012.11247555,6792937.00793909,-52.3685,-28.9702,43.77259901,-41.63817578,771.33
5340467.7850116,6788916.67775483,-50.5063,-28.971,39.6816586,-64.64807239,938.44
5285759.16207244,6790336.42591423,-51.0678,-28.9716,16.38262125,-65.93639715,741.85
5436541.74065647,6786655.72557937,-49.5204,-28.9622,-63.59083096,-65.68287288,20.05
5434651.66934404,6786716.04377512,-49.5398,-28.9623,-63.433358,-66.18001778,25.95
5417016.04671439,6787234.2525627,-49.7208,-28.9635,-60.06427833,-62.71697662,25.89
5292141.24136972,6790564.8785938,-51.0024,-28.9681,24.87922674,-69.15673924,846.59
5370464.15661068,6788624.5580172,-50.1986,-28.9653,55.70491676,-58.43380337,1025.57
5340854.06392963,6789449.36816119,-50.5025,-28.9661,37.17226895,-64.61271426,915.7
5422796.8704048,6787412.67508524,-49.6616,-28.96,-64.12614352,-65.67652632,15.71
5412815.27440364,6787863.38074336,-49.7641,-28.9592,-58.1947383,-61.74698918,34.16
5428665.23495852,6787573.88431085,-49.6015,-28.9566,-65.47334569,-66.12171724,7.38
5347444.10836554,6789707.91478167,-50.435,-28.962,35.23722962,-65.17686055,903.35
5323550.98376306,6790314.41569022,-50.6802,-28.9628,35.76707982,-68.34420934,936.63
5304387.34213108,6790925.10480178,-50.8769,-28.962,26.07958399,-71.04128918,874.12
5405936.9645309,6788363.24534153,-49.8348,-28.9569,-53.98985304,-62.96695015,83.2
5034787.57728042,6797782.80761435,-53.6432,-28.9359,1.759165154,-36.8059379,353.73
5298127.02910225,6791288.46935445,-50.9412,-28.9602,26.20495503,-69.68160949,863.12
5237487.20159875,6792852.10775565,-51.5635,-28.9588,-1.552203079,-69.47939351,613.38
5382946.04166586,6789172.03862282,-50.0708,-28.9567,56.80316579,-59.92243562,1048.16
5442053.724773,6787690.88731702,-49.4643,-28.951,-58.9140684,-61.49926964,24.3
5358399.85052006,6789838.98645992,-50.3227,-28.9578,36.30190349,-61.00796034,875.46
5448454.07086593,6787955.22100618,-49.3988,-28.9464,-57.32148119,-58.27505037,9.68
5423181.77765644,6788599.02146937,-49.6581,-28.9492,-63.31146942,-65.36173768,20.17
5423086.68157755,6788621.65381737,-49.65908333,-28.94902778,-63.00272099,-65.37413738,23.05
5400591.48683971,6789194.72677235,-49.8899,-28.9511,-36.0451339,-64.14241898,254.6
5316519.73212668,6791353.30763116,-50.7526,-28.9552,29.66738221,-68.52641742,883.78
5351037.38677123,6790498.60437149,-50.3984,-28.9539,36.99647609,-65.03545651,917.8
5378090.71974041,6789821.07607059,-50.1208,-28.9523,56.89990031,-57.78675782,1030.22
5388329.06790883,6789725.27686661,-50.0158,-28.9501,51.12724872,-63.32323801,1027.46
5329721.70939584,6791272.07808728,-50.6172,-28.9526,34.74428508,-67.74416257,922.09
5158417.45420318,6795772.63033113,-52.375,-28.9447,37.40262517,-41.94244112,717.17
5284471.44061624,6792676.65574863,-51.0816,-28.9508,12.83072173,-63.59952184,689.23
5344190.52010989,6791460.10500694,-50.4689,-28.9471,27.30337562,-64.1124113,822.97
5438983.64797564,6789278.2111892,-49.49638889,-28.93777778,-62.9904866,-64.12956797,11.48
5438905.37446943,6789300.95464027,-49.4972,-28.9376,-62.63959981,-64.12220921,14.56
5440152.85027528,6789520.26130658,-49.4845,-28.9352,-62.01899097,-63.34823055,13.15
5440104.9821684,6789544.3233826,-49.485,-28.935,-61.55565925,-63.02924427,14.44
